,nagpur,pune,aurangabad,mumbai,latur,solapur
nagpur,0.0,587.4446442161898,419.02332123328677,694.6735874907054,296.6945290117517,364.8364493009853
pune,587.4446442161898,0.0,170.49835305733004,110.39853721183044,293.8636876557485,229.74536636386193
aurangabad,419.02332123328677,170.49835305733004,0.0,275.73062260261446,134.07014963221357,87.62458502371666
mumbai,694.6735874907054,110.39853721183044,275.73062260261446,0.0,403.2578866726241,339.98313894934995
latur,296.6945290117517,293.8636876557485,134.07014963221357,403.2578866726241,0.0,68.47810830830318
solapur,364.8364493009853,229.74536636386193,87.62458502371666,339.98313894934995,68.47810830830318,0.0
