,nagpur,pune,aurangabad,mumbai
nagpur,0.0,587.4446442161898,419.02332123328677,700.4730808360895
pune,587.4446442161898,0.0,170.49835305733004,115.4509050030521
aurangabad,419.02332123328677,170.49835305733004,0.0,281.59650375899963
mumbai,700.4730808360895,115.4509050030521,281.59650375899963,0.0
