,nagpur,pune,aurangabad,mumbai,latur
nagpur,0.0,587.4446442161898,419.02332123328677,694.6735874907054,296.6945290117517
pune,587.4446442161898,0.0,170.49835305733004,110.39853721183044,293.8636876557485
aurangabad,419.02332123328677,170.49835305733004,0.0,275.73062260261446,134.07014963221357
mumbai,694.6735874907054,110.39853721183044,275.73062260261446,0.0,403.2578866726241
latur,296.6945290117517,293.8636876557485,134.07014963221357,403.2578866726241,0.0
