,nagpur,pune,aurangabad,mumbai,delhi
nagpur,0.0,587.4446442161898,419.02332123328677,700.4730808360895,273.4628909186685
pune,587.4446442161898,0.0,170.49835305733004,115.4509050030521,464.32127797463914
aurangabad,419.02332123328677,170.49835305733004,0.0,281.59650375899963,308.90320678935296
mumbai,700.4730808360895,115.4509050030521,281.59650375899963,0.0,557.8006092960663
delhi,273.4628909186685,464.32127797463914,308.90320678935296,557.8006092960663,0.0
