,nagpur,pune,aurangabad,mumbai
nagpur,0.0,587.4446442161898,419.02332123328677,694.6735874907054
pune,587.4446442161898,0.0,170.49835305733004,110.39853721183044
aurangabad,419.02332123328677,170.49835305733004,0.0,275.73062260261446
mumbai,694.6735874907054,110.39853721183044,275.73062260261446,0.0
